personnel_id,week,duty_hours,consecutive_duty_days,overtime_hours,workload_score,sleep_hours,fatigue_score,stress_score,mood_score,emotional_exhaustion,attendance_score,activity_level,performance_score,social_withdrawal,behavioral_change,age,service_years,rank_level,transfer_frequency,training_hours,deployment_days,deployment_frequency,operational_exposure,leave_days,days_since_last_leave,leave_frequency,stress_risk_score,stress_risk,burnout_risk_score,burnout_risk
P0002,8,43,2,0,1.0,7.0,3.6,2.8,5.5,3.4,82.5,95.8,78.5,5.6,1.7,44,3,Junior,2,14.0,97,3,10,12,8,4,24.5,Low,27.3,Low
P0002,9,69,11,24,6.7,7.5,3.0,7.8,3.7,6.4,83.2,88.4,88.4,6.7,1.3,44,3,Junior,2,14.0,97,3,10,12,8,4,49.2,Moderate,52.9,Moderate
P0002,10,40,6,0,1.2,6.2,3.9,6.8,4.2,5.9,94.7,82.9,66.1,1.1,3.8,44,3,Junior,2,14.0,97,3,10,12,8,4,43.4,Moderate,37.0,Moderate
P0002,11,65,13,20,7.3,7.7,2.6,3.7,6.8,5.2,85.2,100.0,87.4,3.5,2.3,44,3,Junior,2,14.0,97,3,10,12,8,4,44.6,Moderate,48.9,Moderate
P0002,12,61,5,16,5.1,6.5,4.4,5.4,4.7,4.8,91.5,100.0,76.3,2.9,1.0,44,3,Junior,2,14.0,97,3,10,12,8,4,48.9,Moderate,42.2,Moderate
P0003,1,54,3,9,4.1,7.2,4.7,7.9,4.3,7.5,88.9,90.2,88.1,4.5,2.1,48,21,Intermediate,1,10.1,101,3,6,8,55,3,50.6,Moderate,40.5,Moderate
P0003,2,52,13,7,4.2,7.0,4.1,5.0,5.3,4.3,92.9,89.3,62.0,3.5,1.9,48,21,Intermediate,1,10.1,101,3,6,8,55,3,49.1,Moderate,51.1,Moderate
P0003,3,45,13,0,1.7,6.9,4.4,2.8,5.7,4.4,87.9,88.0,74.7,4.8,3.1,48,21,Intermediate,1,10.1,101,3,6,8,55,3,41.7,Moderate,45.1,Moderate
P0003,4,59,4,14,5.1,8.0,3.5,5.2,5.5,5.2,92.5,87.3,68.3,3.1,2.5,48,21,Intermediate,1,10.1,101,3,6,8,55,3,44.4,Moderate,40.9,Moderate
P0003,5,54,2,9,3.7,7.4,3.9,7.8,4.5,5.7,87.5,56.6,79.7,2.4,5.8,48,21,Intermediate,1,10.1,101,3,6,8,55,3,41.7,Moderate,45.7,Moderate
P0003,6,53,10,8,4.2,7.2,5.6,3.0,6.7,3.4,82.1,84.2,75.8,5.1,2.1,48,21,Intermediate,1,10.1,101,3,6,8,55,3,40.8,Moderate,50.1,Moderate
P0003,7,62,6,17,4.8,6.5,6.1,7.1,4.3,8.9,92.4,67.0,72.2,4.1,4.2,48,21,Intermediate,1,10.1,101,3,6,8,55,3,59.3,High,63.1,High
P0003,8,52,10,7,4.3,7.6,4.8,6.1,6.0,5.5,87.5,88.4,90.7,2.3,2.6,48,21,Intermediate,1,10.1,101,3,6,8,55,3,45.7,Moderate,49.6,Moderate
P0003,9,43,13,0,3.3,6.1,6.3,6.1,6.5,5.7,100.0,84.0,75.7,3.8,4.9,48,21,Intermediate,1,10.1,101,3,6,8,55,3,50.7,Moderate,61.4,High
P0003,10,56,5,11,3.1,6.2,4.6,5.2,5.3,5.8,94.6,90.5,70.9,5.0,2.7,48,21,Intermediate,1,10.1,101,3,6,8,55,3,41.8,Moderate,47.5,Moderate
P0003,11,66,9,21,5.0,7.8,3.4,6.4,3.3,4.4,83.9,67.3,80.6,4.2,2.7,48,21,Intermediate,1,10.1,101,3,6,8,55,3,52.7,Moderate,46.3,Moderate
P0003,12,40,2,0,3.5,7.3,3.8,4.8,6.5,4.6,94.3,74.0,73.1,3.9,3.0,48,21,Intermediate,1,10.1,101,3,6,8,55,3,33.9,Moderate,39.5,Moderate
P0004,1,65,10,20,4.2,7.8,3.0,4.9,5.4,2.8,82.1,77.3,73.6,2.0,3.0,30,3,Junior,3,8.3,69,1,6,15,41,1,33.4,Moderate,37.3,Moderate
P0004,2,58,13,13,6.0,8.1,2.9,4.9,6.4,3.7,95.4,82.0,76.9,3.5,3.1,30,3,Junior,3,8.3,69,1,6,15,41,1,35.3,Moderate,45.2,Moderate
P0004,3,45,5,0,1.0,6.3,5.3,3.6,4.8,3.7,99.2,90.0,74.0,3.3,1.8,30,3,Junior,3,8.3,69,1,6,15,41,1,35.6,Moderate,35.2,Moderate
P0004,4,60,3,15,3.3,8.1,1.2,3.5,5.4,3.4,87.8,93.4,98.8,3.3,1.4,30,3,Junior,3,8.3,69,1,6,15,41,1,28.4,Low,22.5,Low
P0004,5,35,11,0,1.6,7.3,1.8,3.1,4.6,1.6,80.3,87.6,82.8,3.3,3.1,30,3,Junior,3,8.3,69,1,6,15,41,1,28.3,Low,34.0,Moderate
P0004,6,47,7,2,2.0,7.2,3.5,4.6,5.1,4.9,92.7,92.2,76.3,3.0,1.0,30,3,Junior,3,8.3,69,1,6,15,41,1,34.5,Moderate,35.9,Moderate
P0004,7,64,9,19,4.4,6.6,4.1,6.0,7.8,4.1,90.7,87.7,70.6,3.3,2.4,30,3,Junior,3,8.3,69,1,6,15,41,1,43.7,Moderate,44.2,Moderate
P0004,8,36,7,0,1.0,7.4,3.8,3.6,5.4,3.1,77.3,97.8,94.7,1.1,2.6,30,3,Junior,3,8.3,69,1,6,15,41,1,33.4,Moderate,25.0,Low
P0004,9,66,2,21,5.1,5.5,5.5,3.8,4.6,3.2,96.0,81.0,100.0,4.5,3.8,30,3,Junior,3,8.3,69,1,6,15,41,1,46.4,Moderate,48.0,Moderate
P0004,10,70,13,25,6.9,6.2,4.5,3.9,6.3,4.3,90.7,78.7,71.7,4.8,2.9,30,3,Junior,3,8.3,69,1,6,15,41,1,55.3,High,57.1,Moderate
P0004,11,50,6,5,3.5,6.9,4.6,4.0,5.6,4.4,89.4,80.0,88.1,2.8,5.5,30,3,Junior,3,8.3,69,1,6,15,41,1,43.3,Moderate,39.4,Moderate
P0004,12,69,2,24,6.0,6.9,4.0,3.6,6.9,3.8,93.9,78.6,75.2,4.9,3.5,30,3,Junior,3,8.3,69,1,6,15,41,1,38.6,Moderate,41.3,Moderate
P0005,1,42,13,0,2.2,6.8,3.9,3.9,6.3,3.6,99.4,84.3,80.0,2.2,3.1,29,7,Junior,2,13.1,42,2,10,2,49,4,37.7,Moderate,34.0,Moderate
P0005,2,52,12,7,3.7,6.7,3.8,3.4,6.2,3.2,94.4,60.9,79.3,3.2,4.9,29,7,Junior,2,13.1,42,2,10,2,49,4,35.2,Moderate,44.1,Moderate
P0005,3,55,9,10,1.6,8.0,1.0,1.8,7.5,1.0,86.3,81.5,85.6,2.7,3.5,29,7,Junior,2,13.1,42,2,10,2,49,4,18.3,Low,19.1,Low
P0005,4,68,8,23,6.2,7.2,2.0,2.1,7.7,2.2,80.3,94.7,80.1,3.3,4.0,29,7,Junior,2,13.1,42,2,10,2,49,4,36.0,Moderate,34.8,Moderate
P0005,5,65,7,20,5.8,7.3,2.4,5.7,5.2,5.3,86.0,80.9,80.7,5.7,3.0,29,7,Junior,2,13.1,42,2,10,2,49,4,42.1,Moderate,38.2,Moderate
P0005,6,51,14,6,3.7,6.6,2.2,1.0,7.9,1.0,94.1,81.5,92.5,3.0,2.9,29,7,Junior,2,13.1,42,2,10,2,49,4,30.0,Moderate,38.4,Moderate
P0005,7,37,12,0,1.7,6.8,1.2,2.2,8.5,1.4,98.5,88.1,72.1,5.4,3.4,29,7,Junior,2,13.1,42,2,10,2,49,4,28.8,Low,27.0,Low
P0005,8,61,2,16,3.9,7.1,2.4,2.7,7.0,2.8,87.9,72.2,96.0,3.2,4.1,29,7,Junior,2,13.1,42,2,10,2,49,4,31.6,Moderate,29.5,Low
P0005,9,49,5,4,4.8,5.8,2.7,1.2,7.6,2.0,83.0,85.4,67.6,5.3,2.1,29,7,Junior,2,13.1,42,2,10,2,49,4,36.6,Moderate,40.6,Moderate
P0005,10,67,12,22,4.5,6.5,1.9,3.8,5.2,3.7,97.0,81.6,61.3,5.5,2.5,29,7,Junior,2,13.1,42,2,10,2,49,4,40.6,Moderate,42.1,Moderate
P0005,11,46,14,1,1.1,6.9,2.3,3.3,7.4,3.8,94.9,77.9,68.1,3.0,3.0,29,7,Junior,2,13.1,42,2,10,2,49,4,28.2,Low,33.2,Moderate
P0005,12,60,7,15,4.1,5.3,4.7,4.7,5.9,4.4,95.7,75.4,83.5,5.8,3.7,29,7,Junior,2,13.1,42,2,10,2,49,4,47.1,Moderate,48.1,Moderate
P0006,1,61,5,16,5.4,6.0,6.0,7.0,6.7,6.2,94.3,99.2,75.2,4.4,1.5,32,8,Junior,1,5.6,118,1,5,6,81,1,56.5,High,61.3,High
P0006,2,57,10,12,5.2,6.7,3.6,5.4,6.7,4.1,86.8,99.9,79.1,4.3,1.0,32,8,Junior,1,5.6,118,1,5,6,81,1,48.9,Moderate,53.9,Moderate
P0006,3,42,4,0,6.1,6.8,3.4,3.8,6.2,3.5,90.1,95.6,83.7,4.1,3.5,32,8,Junior,1,5.6,118,1,5,6,81,1,43.2,Moderate,44.1,Moderate
P0006,4,35,6,0,5.1,7.3,3.0,5.3,5.0,5.2,92.2,95.6,83.3,3.3,3.3,32,8,Junior,1,5.6,118,1,5,6,81,1,52.1,Moderate,45.5,Moderate
P0006,5,60,12,15,5.5,5.9,4.9,5.5,5.9,6.2,92.7,92.1,71.3,2.1,3.0,32,8,Junior,1,5.6,118,1,5,6,81,1,62.3,High,69.8,High
P0006,6,57,13,12,4.2,7.6,4.1,5.1,6.6,5.9,93.9,93.3,76.6,5.1,1.8,32,8,Junior,1,5.6,118,1,5,6,81,1,47.7,Moderate,53.3,Moderate
P0006,7,53,3,8,4.2,8.2,3.4,5.3,6.0,4.6,87.2,93.6,79.0,2.1,3.2,32,8,Junior,1,5.6,118,1,5,6,81,1,39.7,Moderate,44.4,Moderate
P0006,8,45,12,0,1.7,7.3,3.4,2.7,5.8,3.3,95.0,100.0,75.6,1.8,2.3,32,8,Junior,1,5.6,118,1,5,6,81,1,37.6,Moderate,41.4,Moderate
P0006,9,68,6,23,5.2,7.3,3.3,6.9,5.3,7.3,77.6,100.0,90.0,4.1,1.0,32,8,Junior,1,5.6,118,1,5,6,81,1,54.5,Moderate,55.8,Moderate
P0006,10,68,3,23,5.8,6.0,4.7,4.4,7.6,5.4,92.1,74.6,80.9,2.5,3.5,32,8,Junior,1,5.6,118,1,5,6,81,1,52.6,Moderate,55.5,Moderate
P0006,11,46,11,1,1.0,6.6,2.3,6.4,5.2,5.8,82.4,95.6,90.9,2.4,1.0,32,8,Junior,1,5.6,118,1,5,6,81,1,36.7,Moderate,45.8,Moderate
P0006,12,63,14,18,6.3,5.6,5.1,4.0,6.1,4.4,98.7,88.4,89.6,4.4,2.6,32,8,Junior,1,5.6,118,1,5,6,81,1,64.5,High,63.1,High
P0007,1,54,4,9,3.0,6.5,4.9,5.5,5.6,6.8,93.8,92.0,76.7,3.6,1.5,28,4,Junior,1,10.9,20,2,5,12,18,0,45.5,Moderate,33.7,Moderate
P0007,2,70,7,25,6.9,7.2,5.1,4.2,5.2,4.1,94.6,89.9,62.7,4.6,2.0,28,4,Junior,1,10.9,20,2,5,12,18,0,45.7,Moderate,50.3,Moderate
P0007,3,49,10,4,1.8,7.2,6.0,7.1,5.0,7.3,87.9,100.0,91.4,2.9,2.3,28,4,Junior,1,10.9,20,2,5,12,18,0,44.4,Moderate,44.5,Moderate
P0007,4,41,8,0,2.1,7.6,5.9,5.0,6.7,5.4,86.9,95.3,79.4,3.1,1.0,28,4,Junior,1,10.9,20,2,5,12,18,0,36.1,Moderate,40.4,Moderate
P0007,5,65,6,20,5.4,6.8,5.3,6.0,5.6,6.6,83.1,100.0,91.7,1.7,1.4,28,4,Junior,1,10.9,20,2,5,12,18,0,51.6,Moderate,47.5,Moderate
P0007,6,56,9,11,3.9,6.8,7.1,3.2,5.5,4.8,89.0,82.1,82.7,3.0,3.2,28,4,Junior,1,10.9,20,2,5,12,18,0,45.0,Moderate,48.4,Moderate
P0007,7,52,12,7,1.0,8.0,6.1,6.5,5.4,6.8,97.3,100.0,87.2,4.4,1.2,28,4,Junior,1,10.9,20,2,5,12,18,0,34.9,Moderate,34.5,Moderate
P0007,8,66,2,21,6.5,6.8,4.8,5.0,7.3,3.5,83.4,98.0,79.2,3.5,1.7,28,4,Junior,1,10.9,20,2,5,12,18,0,38.7,Moderate,34.8,Moderate
P0007,9,41,4,0,3.5,6.9,5.0,7.5,5.7,6.3,84.3,91.4,79.8,5.8,2.3,28,4,Junior,1,10.9,20,2,5,12,18,0,46.7,Moderate,39.1,Moderate
P0007,10,38,9,0,2.8,7.6,4.5,5.9,5.7,5.5,84.5,81.0,87.4,4.2,3.1,28,4,Junior,1,10.9,20,2,5,12,18,0,37.9,Moderate,35.6,Moderate
P0007,11,40,10,0,3.7,7.8,4.1,4.1,7.1,4.2,85.1,83.8,99.6,4.8,2.2,28,4,Junior,1,10.9,20,2,5,12,18,0,34.5,Moderate,34.3,Moderate
P0007,12,38,2,0,2.4,7.9,6.0,4.7,7.4,4.7,96.0,94.8,76.3,4.8,4.0,28,4,Junior,1,10.9,20,2,5,12,18,0,29.7,Low,29.5,Low
P0008,1,44,4,0,5.5,8.4,5.2,5.5,5.5,4.8,82.8,94.5,73.3,5.1,1.9,36,15,Junior,0,13.5,37,0,8,7,75,1,40.0,Moderate,44.4,Moderate
P0008,2,62,14,17,2.7,7.3,5.9,9.8,2.4,10.0,83.0,84.3,56.8,4.3,3.0,36,15,Junior,0,13.5,37,0,8,7,75,1,60.4,High,58.4,Moderate
P0008,3,36,13,0,1.7,6.9,7.0,5.4,4.5,7.3,81.7,94.3,95.3,5.6,1.0,36,15,Junior,0,13.5,37,0,8,7,75,1,50.3,Moderate,53.9,Moderate
P0008,4,57,2,12,3.4,7.2,5.5,6.6,2.1,5.6,89.3,100.0,86.5,3.0,2.5,36,15,Junior,0,13.5,37,0,8,7,75,1,48.3,Moderate,37.1,Moderate
P0008,5,60,5,15,7.4,6.5,6.4,8.1,4.5,7.9,88.8,87.5,74.6,1.2,3.4,36,15,Junior,0,13.5,37,0,8,7,75,1,67.1,High,56.9,Moderate
P0008,6,40,3,0,2.6,7.1,6.2,7.2,4.6,7.5,94.3,94.4,61.9,3.4,2.6,36,15,Junior,0,13.5,37,0,8,7,75,1,50.0,Moderate,41.0,Moderate
P0008,7,54,14,9,2.5,6.3,5.5,6.3,3.7,5.7,88.8,93.1,83.4,5.6,3.0,36,15,Junior,0,13.5,37,0,8,7,75,1,53.9,Moderate,47.8,Moderate
P0008,8,57,11,12,3.8,7.6,5.9,4.9,5.9,4.9,97.2,100.0,96.1,4.3,1.9,36,15,Junior,0,13.5,37,0,8,7,75,1,45.1,Moderate,42.0,Moderate
P0008,9,43,3,0,2.6,6.9,5.4,6.6,3.8,6.6,87.9,99.9,70.2,4.7,1.1,36,15,Junior,0,13.5,37,0,8,7,75,1,47.8,Moderate,43.2,Moderate
P0008,10,38,13,0,1.0,6.4,5.7,6.9,3.7,7.5,90.2,94.7,98.6,3.8,3.3,36,15,Junior,0,13.5,37,0,8,7,75,1,49.1,Moderate,46.7,Moderate
P0008,11,51,10,6,2.2,7.6,5.5,6.8,3.6,5.3,91.7,95.3,94.4,5.0,4.0,36,15,Junior,0,13.5,37,0,8,7,75,1,48.4,Moderate,43.6,Moderate
P0008,12,70,14,25,5.6,7.8,3.4,7.2,5.7,5.8,85.3,87.0,96.1,3.3,2.7,36,15,Junior,0,13.5,37,0,8,7,75,1,52.4,Moderate,48.5,Moderate
P0009,1,48,3,3,4.8,7.4,5.7,5.8,4.8,4.9,97.8,80.6,94.0,1.9,4.1,45,8,Intermediate,2,10.4,37,1,6,8,58,2,45.2,Moderate,41.4,Moderate
P0009,2,57,11,12,3.2,6.9,6.5,6.5,4.0,5.5,85.5,83.6,93.7,3.3,4.4,45,8,Intermediate,2,10.4,37,1,6,8,58,2,49.0,Moderate,46.4,Moderate
P0009,3,60,4,15,5.2,5.9,7.9,6.8,5.1,7.2,94.2,98.5,77.7,4.2,1.0,45,8,Intermediate,2,10.4,37,1,6,8,58,2,64.9,High,56.7,Moderate
P0009,4,39,4,0,1.0,6.4,6.4,6.3,5.4,5.7,90.7,99.5,77.9,1.7,2.6,45,8,Intermediate,2,10.4,37,1,6,8,58,2,40.4,Moderate,39.8,Moderate
P0009,5,64,2,19,4.4,6.1,7.7,10.0,3.7,10.0,88.0,79.6,87.7,2.7,2.9,45,8,Intermediate,2,10.4,37,1,6,8,58,2,67.5,High,60.6,High
P0009,6,51,14,6,3.4,7.6,6.1,7.1,5.0,4.6,91.8,88.8,78.4,1.8,2.0,45,8,Intermediate,2,10.4,37,1,6,8,58,2,45.3,Moderate,44.9,Moderate
P0009,7,46,9,1,3.1,8.6,4.9,6.2,4.1,5.7,84.3,92.9,89.9,2.7,1.2,45,8,Intermediate,2,10.4,37,1,6,8,58,2,42.9,Moderate,33.8,Moderate
P0009,8,55,6,10,3.3,6.9,6.8,7.1,4.9,7.5,83.5,82.3,85.1,2.2,3.5,45,8,Intermediate,2,10.4,37,1,6,8,58,2,47.2,Moderate,47.7,Moderate
P0009,9,51,6,6,3.8,7.8,6.7,5.0,5.0,3.6,84.4,98.7,77.4,5.4,1.2,45,8,Intermediate,2,10.4,37,1,6,8,58,2,37.1,Moderate,43.1,Moderate
P0009,10,58,13,13,6.1,9.0,3.5,6.5,4.0,5.3,81.4,100.0,62.0,5.6,1.5,45,8,Intermediate,2,10.4,37,1,6,8,58,2,46.4,Moderate,46.9,Moderate
P0009,11,35,5,0,1.8,7.4,6.0,7.0,4.0,6.1,81.0,84.1,71.5,3.7,2.7,45,8,Intermediate,2,10.4,37,1,6,8,58,2,41.8,Moderate,39.3,Moderate
P0009,12,37,2,0,3.7,6.3,6.6,5.2,5.0,5.6,92.3,83.1,76.8,3.4,4.0,45,8,Intermediate,2,10.4,37,1,6,8,58,2,45.2,Moderate,48.7,Moderate
P0010,1,54,11,9,2.9,6.3,5.8,2.0,7.1,4.1,90.8,93.6,65.0,2.0,1.0,33,9,Junior,0,11.7,104,2,10,7,53,1,44.0,Moderate,50.2,Moderate
P0010,2,51,12,6,1.9,6.5,5.2,7.6,5.5,8.7,100.0,99.1,75.1,2.5,1.0,33,9,Junior,0,11.7,104,2,10,7,53,1,51.2,Moderate,56.2,Moderate
P0010,3,42,12,0,2.5,6.8,3.6,5.1,5.7,6.0,96.2,91.9,77.7,4.0,2.9,33,9,Junior,0,11.7,104,2,10,7,53,1,38.4,Moderate,46.6,Moderate
P0010,4,59,6,14,3.9,6.6,4.3,6.4,3.8,4.6,92.6,91.3,65.7,6.6,1.9,33,9,Junior,0,11.7,104,2,10,7,53,1,51.0,Moderate,48.5,Moderate
P0010,5,57,4,12,4.5,7.1,6.2,8.1,6.1,6.3,87.1,100.0,76.8,3.0,4.1,33,9,Junior,0,11.7,104,2,10,7,53,1,52.7,Moderate,49.7,Moderate
P0010,6,40,9,0,3.9,8.2,4.6,7.6,4.4,6.2,94.4,100.0,81.6,3.7,3.7,33,9,Junior,0,11.7,104,2,10,7,53,1,47.3,Moderate,46.2,Moderate
P0010,7,48,10,3,4.7,8.2,4.4,8.2,4.1,6.3,95.4,98.5,78.9,3.7,1.4,33,9,Junior,0,11.7,104,2,10,7,53,1,50.8,Moderate,46.5,Moderate
P0010,8,61,10,16,7.3,7.2,4.2,2.6,7.0,3.0,84.4,100.0,74.6,5.1,2.4,33,9,Junior,0,11.7,104,2,10,7,53,1,49.0,Moderate,48.3,Moderate
P0010,9,41,13,0,1.2,7.5,4.4,7.8,4.3,8.1,99.6,100.0,70.4,2.2,2.7,33,9,Junior,0,11.7,104,2,10,7,53,1,42.5,Moderate,49.2,Moderate
P0010,10,65,6,20,7.2,7.4,4.4,1.0,8.8,1.6,92.7,94.6,67.6,3.4,3.5,33,9,Junior,0,11.7,104,2,10,7,53,1,35.5,Moderate,48.7,Moderate
P0010,11,44,4,0,3.1,6.3,3.5,2.8,7.4,3.2,96.6,100.0,70.4,1.7,1.5,33,9,Junior,0,11.7,104,2,10,7,53,1,35.1,Moderate,42.0,Moderate
P0010,12,53,7,8,3.6,6.8,4.8,5.4,4.7,4.9,97.0,100.0,68.2,2.5,1.7,33,9,Junior,0,11.7,104,2,10,7,53,1,47.7,Moderate,46.6,Moderate
P0011,1,49,14,4,3.4,6.9,3.7,5.6,5.3,3.6,89.7,88.9,96.8,4.3,2.1,45,7,Junior,1,13.7,11,1,2,10,88,1,40.0,Moderate,41.9,Moderate
P0011,2,52,11,7,2.8,7.6,4.0,3.5,5.8,4.0,83.1,86.0,69.4,4.1,2.6,45,7,Junior,1,13.7,11,1,2,10,88,1,37.9,Moderate,37.6,Moderate
P0011,3,54,13,9,1.9,6.9,1.2,2.8,5.3,3.3,86.3,78.8,92.8,3.8,3.2,45,7,Junior,1,13.7,11,1,2,10,88,1,34.1,Moderate,33.8,Moderate
P0011,4,56,5,11,3.3,7.7,3.4,5.2,5.8,4.8,88.1,79.6,83.6,1.0,3.0,45,7,Junior,1,13.7,11,1,2,10,88,1,40.5,Moderate,31.4,Moderate
P0011,5,38,4,0,2.1,7.7,1.0,4.6,5.3,1.0,93.3,81.0,85.1,3.0,1.1,45,7,Junior,1,13.7,11,1,2,10,88,1,27.2,Low,19.1,Low
P0011,6,62,10,17,5.8,7.6,1.0,4.1,6.5,3.5,89.0,83.4,72.2,3.5,2.0,45,7,Junior,1,13.7,11,1,2,10,88,1,38.5,Moderate,33.3,Moderate
P0011,7,47,8,2,3.0,6.4,3.1,3.4,5.6,3.5,86.2,87.8,85.8,1.0,1.8,45,7,Junior,1,13.7,11,1,2,10,88,1,35.4,Moderate,38.7,Moderate
P0011,8,56,14,11,7.1,6.8,3.5,4.9,5.5,4.1,100.0,88.9,76.0,1.6,3.0,45,7,Junior,1,13.7,11,1,2,10,88,1,50.1,Moderate,52.2,Moderate
P0011,9,57,3,12,4.6,6.4,3.3,3.8,5.4,3.5,91.8,79.2,68.1,2.8,3.3,45,7,Junior,1,13.7,11,1,2,10,88,1,38.2,Moderate,32.2,Moderate
P0011,10,56,9,11,2.6,7.1,3.6,2.8,8.5,4.2,82.7,96.2,78.8,5.6,3.0,45,7,Junior,1,13.7,11,1,2,10,88,1,32.3,Moderate,38.5,Moderate
P0011,11,65,4,20,8.0,7.9,2.1,2.7,6.7,3.6,88.2,69.9,74.4,3.9,5.8,45,7,Junior,1,13.7,11,1,2,10,88,1,39.3,Moderate,39.9,Moderate
P0011,12,41,10,0,1.9,7.8,3.0,1.9,7.6,2.9,95.3,89.9,90.2,4.3,2.5,45,7,Junior,1,13.7,11,1,2,10,88,1,28.5,Low,28.9,Low
P0012,1,68,12,23,4.2,7.8,2.3,3.0,6.2,2.7,90.6,89.8,88.0,4.8,2.9,47,5,Senior,3,12.7,7,2,7,1,25,3,29.2,Low,31.1,Moderate
P0012,2,63,8,18,7.0,7.8,3.1,3.6,5.9,2.9,92.8,93.7,97.9,5.3,2.3,47,5,Senior,3,12.7,7,2,7,1,25,3,33.5,Moderate,36.1,Moderate
P0012,3,56,6,11,6.2,6.7,2.4,1.0,7.8,2.0,79.4,96.5,73.3,5.0,1.0,47,5,Senior,3,12.7,7,2,7,1,25,3,31.3,Moderate,32.9,Moderate
P0012,4,40,2,0,1.3,6.9,3.2,3.3,7.5,3.2,88.5,87.3,79.9,4.2,2.2,47,5,Senior,3,12.7,7,2,7,1,25,3,29.5,Low,24.0,Low
